instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
13373|975MMFL22A|Secured Redeemable NCDs Series II - 9.75% Monthly coupon.|990|0|0|0.010000|1|ZZ|-|BSE|INE101Q07565|1|937119|-
17090|975MMFL22B|Secured Redeemable NCDs Series II - 9.75% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE101Q07664|1|937211|-
17145|975MMFL22C|Secured Redeemable NCDs Series II - 9.75% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE101Q07730|1|937263|-
125492|0EFSL24A|Secured Redeemable NCDs Series II - Zero Coupon.|1000|0|0|0.010000|1|ZZ|-|BSE|INE532F07BW2|1|937493|-
40550|0EFSL24|Secured Redeemable NCDs Series II - Zero Coupon.|1030|0|0|0.010000|1|ZZ|-|BSE|INE532F07BL5|1|937337|-
13380|10MMFL23|Secured Redeemable NCDs Series III - 10.00% Monthly coupon.|990|0|0|0.010000|1|ZZ|-|BSE|INE101Q07573|1|937121|-
105960|10EFIL23|Secured Redeemable NCDs Series III - 10.00% Per Annum.|1060|0|0|0.010000|1|ZZ|-|BSE|INE918K07FP8|1|937081|-
48824|MFLIII23C|Secured Redeemable NCDs Series III - 6.60% Per Annum.|1014|0|0|0.010000|1|ZZ|-|BSE|INE414G07FS0|1|937463|-
24045|MFLOIII24|Secured Redeemable NCDs Series III - 7.40% Per Annum.|1058|0|0|0.010000|1|ZZ|-|BSE|INE414G07FF7|1|937313|-
16616|875MFL26|Secured Redeemable NCDs Series III - 8.75% Monthly coupon.|980|0|0|0.010000|1|ZZ|-|BSE|INE549K07949|1|937407|-
26030|875MFCL26C|Secured Redeemable NCDs Series III - 8.75% Monthly coupon.|984|0|0|0.010000|1|ZZ|-|BSE|INE549K07AJ5|1|937547|-
24460|875MFL26A|Secured Redeemable NCDs Series III - 8.75% Monthly coupon.|1000.9|0|0|0.010000|1|ZZ|-|BSE|INE549K07AB2|1|937439|-
78662|915MFL25|Secured Redeemable NCDs Series III - 9.15% Monthly coupon.|998|0|0|0.010000|1|ZZ|-|BSE|INE549K07824|1|937295|-
125493|916EFSL26|Secured Redeemable NCDs Series III - 9.16% Monthly coupon.|984|0|0|0.010000|1|ZZ|-|BSE|INE532F07BX0|1|937495|-
33952|925MFL25|Secured Redeemable NCDs Series III - 9.25% Monthly coupon.|955|0|0|0.010000|1|ZZ|-|BSE|INE549K07683|1|937247|-
40551|939EFSL26|Secured Redeemable NCDs Series III - 9.39% Monthly coupon.|961|0|0|0.010000|1|ZZ|-|BSE|INE532F07BM3|1|937339|-
16919|94MFL23|Secured Redeemable NCDs Series III - 9.40% Monthly coupon.|1022|0|0|0.010000|1|ZZ|-|BSE|INE549K07535|1|937099|-
34494|95MFL22A|Secured Redeemable NCDs Series III - 9.50% Monthly coupon.|1020|0|0|0.010000|1|ZZ|-|BSE|INE549K07451|1|936914|-
17156|0MMFL22B|Secured Redeemable NCDs Series III - Zero Coupon.|1014|0|0|0.010000|1|ZZ|-|BSE|INE101Q07748|1|937265|-
17091|MMFL2JUL20|Secured Redeemable NCDs Series III - Zero Coupon.|1085|0|0|0.010000|1|ZZ|-|BSE|INE101Q07672|1|937213|-
13496|0MMFL23A|Secured Redeemable NCDs Series III - Zero Coupon.|1008|0|0|0.010000|1|ZZ|-|BSE|INE101Q07938|1|937509|-
26278|0MMFL23|Secured Redeemable NCDs Series III - Zero Coupon.|1050|0|0|0.010000|1|ZZ|-|BSE|INE101Q07888|1|937425|-
17102|10MMFL23A|Secured Redeemable NCDs Series IV - 10.00% Monthly coupon.|995|0|0|0.010000|1|ZZ|-|BSE|INE101Q07680|1|937215|-
17160|10MMFL23B|Secured Redeemable NCDs Series IV - 10.00% Monthly coupon.|992|0|0|0.010000|1|ZZ|-|BSE|INE101Q07755|1|937267|-
26279|10MMFL24A|Secured Redeemable NCDs Series IV - 10.00% Monthly coupon.|1049.95|0|0|0.010000|1|ZZ|-|BSE|INE101Q07896|1|937427|-
48825|MFLIV24D|Secured Redeemable NCDs Series IV - 7.10% Per Annum.|1010|0|0|0.010000|1|ZZ|-|BSE|INE414G07FT8|1|937465|-
24046|MFLOIV25|Secured Redeemable NCDs Series IV - 7.75% Per Annum.|1060|0|0|0.010000|1|ZZ|-|BSE|INE414G07FG5|1|937315|-
78663|925MFL23C|Secured Redeemable NCDs Series IV - 9.25% Per Annum.|1010|0|0|0.010000|1|ZZ|-|BSE|INE549K07832|1|937297|-
33953|94MFL22|Secured Redeemable NCDs Series IV - 9.40% Per Annum.|1010|0|0|0.010000|1|ZZ|-|BSE|INE549K07691|1|937249|-
16922|95MFL25|Secured Redeemable NCDs Series IV - 9.50% Monthly coupon.|1020|0|0|0.010000|1|ZZ|-|BSE|INE549K07543|1|937101|-
125494|955EFSL26|Secured Redeemable NCDs Series IV - 9.55% Per Annum.|960|0|0|0.010000|1|ZZ|-|BSE|INE532F07BY8|1|937497|-
13497|975MMFL24|Secured Redeemable NCDs Series IV - 9.75% Monthly coupon.|999|0|0|0.010000|1|ZZ|-|BSE|INE101Q07946|1|937511|-
40552|98EFSL26|Secured Redeemable NCDs Series IV - 9.80% Per Annum.|1038|0|0|0.010000|1|ZZ|-|BSE|INE532F07BN1|1|937341|-
105961|0EFIL23|Secured Redeemable NCDs Series IV - Zero Coupon.|1125|0|0|0.010000|1|ZZ|-|BSE|INE918K07FQ6|1|937083|-
13381|0MMFL24B|Secured Redeemable NCDs Series IV - Zero Coupon.|1119.9|0|0|0.010000|1|ZZ|-|BSE|INE101Q07581|1|937123|-
105966|1025EFIL30|Secured Redeemable NCDs Series IX - 10.25% Per Annum.|1005|0|0|0.010000|1|ZZ|-|BSE|INE918K07FV6|1|937093|-
78668|0MFL25D|Secured Redeemable NCDs Series IX - Zero Coupon.|1105|0|0|0.010000|1|ZZ|-|BSE|INE549K07881|1|937307|-
17574|0MFL22CC|Secured Redeemable NCDs Series IX - Zero Coupon.|1135|0|0|0.010000|1|ZZ|-|BSE|INE549K07592|1|937111|-
33958|0MFL25C|Secured Redeemable NCDs Series IX - Zero Coupon.|1140|0|0|0.010000|1|ZZ|-|BSE|INE549K07741|1|937259|-
34503|10MFL22|Secured Redeemable NCDs Series V - 10.00% Per Annum.|1025|0|0|0.010000|1|ZZ|-|BSE|INE549K07477|1|936918|-
13382|105MMFL25|Secured Redeemable NCDs Series V - 10.50% Monthly coupon.|1050|0|0|0.010000|1|ZZ|-|BSE|INE101Q07599|1|937125|-
